,participant,category,score,VR
103,pp23,Presence,5.75,Yes
104,pp24,Presence,6.25,Yes
105,pp25,Presence,8.5,Yes
106,pp26,Presence,8.25,Yes
107,pp27,Presence,6,Yes
108,pp1,Realism,7.333333333,Yes
109,pp2,Realism,6,Yes
110,pp3,Realism,4.666666667,Yes
111,pp4,Realism,6.333333333,Yes
112,pp5,Realism,5.333333333,Yes
113,pp6,Realism,5.333333333,Yes
114,pp7,Realism,3.666666667,Yes
115,pp8,Realism,2.666666667,Yes
116,pp9,Realism,6.333333333,Yes
117,pp10,Realism,5,Yes
118,pp11,Realism,7.666666667,Yes
119,pp12,Realism,3.333333333,Yes
120,pp13,Realism,4.666666667,Yes
121,pp14,Realism,9,Yes
122,pp15,Realism,3,Yes
123,pp16,Realism,5.333333333,Yes
124,pp17,Realism,4.666666667,Yes
125,pp18,Realism,6.333333333,Yes
126,pp19,Realism,5.666666667,Yes
127,pp20,Realism,4.333333333,Yes
128,pp21,Realism,6,Yes
129,pp22,Realism,5.333333333,Yes
130,pp23,Realism,3.666666667,Yes
131,pp24,Realism,8,Yes
132,pp25,Realism,8,Yes
133,pp26,Realism,7.666666667,Yes
134,pp27,Realism,6.666666667,Yes
135,pp1,ASQ,7,No
136,pp2,ASQ,7.333333333,No
137,pp3,ASQ,5.666666667,No
138,pp4,ASQ,7,No
139,pp5,ASQ,6.333333333,No
140,pp6,ASQ,8.666666667,No
141,pp7,ASQ,7.666666667,No
142,pp8,ASQ,6.333333333,No
143,pp9,ASQ,5,No
144,pp10,ASQ,3.666666667,No
145,pp11,ASQ,4.333333333,No
146,pp12,ASQ,8.666666667,No
147,pp13,ASQ,5.333333333,No
148,pp14,ASQ,8.666666667,No
149,pp15,ASQ,3,No
150,pp16,ASQ,5.666666667,No
151,pp17,ASQ,7,No
152,pp18,ASQ,6.333333333,No
153,pp19,ASQ,5.666666667,No
154,pp20,ASQ,6.666666667,No
155,pp21,ASQ,7.666666667,No
156,pp22,ASQ,6.333333333,No
157,pp23,ASQ,8.666666667,No
158,pp24,ASQ,6.666666667,No
159,pp25,ASQ,7.666666667,No
160,pp26,ASQ,7.333333333,No
161,pp27,ASQ,7.333333333,No
162,pp1,MARS,7,No
163,pp2,MARS,5.75,No
164,pp3,MARS,7.25,No
165,pp4,MARS,5.25,No
166,pp5,MARS,3.75,No
167,pp6,MARS,6.25,No
168,pp7,MARS,8.5,No
169,pp8,MARS,8.25,No
170,pp9,MARS,0.75,No
171,pp10,MARS,2.5,No
172,pp11,MARS,2.25,No
173,pp12,MARS,7,No
174,pp13,MARS,4.75,No
175,pp14,MARS,7.5,No
176,pp15,MARS,6.5,No
177,pp16,MARS,4.5,No
178,pp17,MARS,5,No
179,pp18,MARS,7.5,No
180,pp19,MARS,5.5,No
181,pp20,MARS,5.25,No
182,pp21,MARS,7,No
183,pp22,MARS,4.75,No
184,pp23,MARS,7.25,No
185,pp24,MARS,6.75,No
186,pp25,MARS,7.5,No
187,pp26,MARS,6.75,No
188,pp27,MARS,5.75,No
189,pp1,Interactivity,5.333333333,No
190,pp2,Interactivity,6,No
191,pp3,Interactivity,2.666666667,No
192,pp4,Interactivity,7.666666667,No
193,pp5,Interactivity,3.666666667,No
194,pp6,Interactivity,7.666666667,No
195,pp7,Interactivity,4,No
196,pp8,Interactivity,4.666666667,No
197,pp9,Interactivity,0,No
198,pp10,Interactivity,4.333333333,No
199,pp11,Interactivity,1,No
200,pp12,Interactivity,8.333333333,No
201,pp13,Interactivity,1.666666667,No
202,pp14,Interactivity,7.333333333,No
203,pp15,Interactivity,3.333333333,No
204,pp16,Interactivity,2.666666667,No
205,pp17,Interactivity,3.666666667,No
206,pp18,Interactivity,7.333333333,No
207,pp19,Interactivity,7,No
208,pp20,Interactivity,5.333333333,No
209,pp21,Interactivity,8.333333333,No
210,pp22,Interactivity,6,No
211,pp23,Interactivity,3,No
212,pp24,Interactivity,4.333333333,No
213,pp25,Interactivity,6.666666667,No
214,pp26,Interactivity,5.666666667,No
215,pp27,Interactivity,2.333333333,No
216,pp1,Presence,5.25,No
217,pp2,Presence,2.5,No
218,pp3,Presence,1.5,No
219,pp4,Presence,7,No
220,pp5,Presence,2.25,No
221,pp6,Presence,7,No
222,pp7,Presence,8.25,No
223,pp8,Presence,2,No
224,pp9,Presence,0.75,No
225,pp10,Presence,2,No
226,pp11,Presence,0.5,No
227,pp12,Presence,8.5,No
228,pp13,Presence,3.5,No
229,pp14,Presence,7.75,No
230,pp15,Presence,0.75,No
231,pp16,Presence,4.25,No
232,pp17,Presence,3,No
233,pp18,Presence,2.25,No
234,pp19,Presence,4.75,No
235,pp20,Presence,3.5,No
236,pp21,Presence,7.25,No
237,pp22,Presence,7.25,No
238,pp23,Presence,1.5,No
239,pp24,Presence,5,No
240,pp25,Presence,7.5,No
241,pp26,Presence,3.75,No
242,pp27,Presence,1.5,No
243,pp1,Realism,5.333333333,No
244,pp2,Realism,3,No
245,pp3,Realism,1.666666667,No
246,pp4,Realism,9,No
247,pp5,Realism,3,No
248,pp6,Realism,8.333333333,No
249,pp7,Realism,4,No
250,pp8,Realism,4.333333333,No
251,pp9,Realism,0,No
252,pp10,Realism,4.333333333,No
253,pp11,Realism,2,No
254,pp12,Realism,7.333333333,No
255,pp13,Realism,3,No
256,pp14,Realism,6.666666667,No
257,pp15,Realism,0,No
258,pp16,Realism,2,No
259,pp17,Realism,2.666666667,No
260,pp18,Realism,3.666666667,No
261,pp19,Realism,3,No
262,pp20,Realism,1.333333333,No
263,pp21,Realism,3,No
264,pp22,Realism,4.666666667,No
265,pp23,Realism,1.666666667,No
266,pp24,Realism,3,No
267,pp25,Realism,6.666666667,No
268,pp26,Realism,4.333333333,No
269,pp27,Realism,3.333333333,No
