,participant,cath,score,VR
189,pp1,presence_4,7,yes
190,pp2,presence_4,5,yes
191,pp3,presence_4,8,yes
192,pp4,presence_4,6,yes
193,pp5,presence_4,5,yes
194,pp6,presence_4,4,yes
195,pp7,presence_4,2,yes
196,pp8,presence_4,7,yes
197,pp9,presence_4,7,yes
198,pp10,presence_4,4,yes
199,pp11,presence_4,7,yes
200,pp12,presence_4,5,yes
201,pp13,presence_4,6,yes
202,pp14,presence_4,9,yes
203,pp15,presence_4,5,yes
204,pp16,presence_4,6,yes
205,pp17,presence_4,3,yes
206,pp18,presence_4,7,yes
207,pp19,presence_4,6,yes
208,pp20,presence_4,7,yes
209,pp21,presence_4,8,yes
210,pp22,presence_4,9,yes
211,pp23,presence_4,5,yes
212,pp24,presence_4,7,yes
213,pp25,presence_4,9,yes
214,pp26,presence_4,8,yes
215,pp27,presence_4,5,yes
